Razón Social,RUC,Teléfono,Email,Dirección
AGROINDUSTRIAL TARAPOTO S.R.L.,20502345678,042345678,agro@tarapoto.pe,CAL. PROGRESO 274 TARAPOTO SAN MARTIN
ACUICULTURA IQUITOS S.A.C.,20602456789,065456789,acui@iquitos.com,AV. PERU 385 IQUITOS LORETO
CONSTRUCTORA SULLANA E.I.R.L.,20702567890,073567890,obras@sullana.pe,JR. LIBERTAD 496 SULLANA PIURA
PESQUERA PAITA S.A.,20802678901,073678901,pesca@paita.com,AV. INDEPENDENCIA 507 PAITA PIURA
PETROQUIMICA TALARA S.R.L.,20902789012,073789012,petro@talara.pe,CAL. UNION 618 TALARA PIURA
AGRICOLA CHULUCANAS S.A.C.,20103890123,074890123,agro@chulucanas.com,AV. EJERCITO 729 CHULUCANAS PIURA
CERAMICA CATACAOS E.I.R.L.,20203901234,073901234,ceramica@catacaos.pe,JR. AMAZONAS 830 CATACAOS PIURA
AZUCARERA FERRENAFE S.A.,20303012345,074012345,azucar@ferrenafe.com,AV. GRAU 941 FERRENAFE LAMBAYEQUE
TEXTIL LAMBAYEQUE S.R.L.,20403123456,074123456,textil@lambayeque.pe,CAL. REAL 052 LAMBAYEQUE LAMBAYEQUE
AGROINDUSTRIAL MONSEFÚ S.A.C.,20503234567,074234567,agro@monsefu.com,AV. BOLOGNESI 163 MONSEFÚ LAMBAYEQUE
PESQUERA ETEN E.I.R.L.,20603345678,074345678,pesca@eten.pe,JR. UNION 274 ETEN LAMBAYEQUE
CONSTRUCTORA REQUE S.A.,20703456789,074456789,obras@reque.com,AV. REPUBLICA 385 REQUE LAMBAYEQUE
INMOBILIARIA PIMENTEL S.R.L.,20803567890,074567890,inmobil@pimentel.pe,CAL. PROGRESO 496 PIMENTEL LAMBAYEQUE
TURISMO SANTA ROSA S.A.C.,20903678901,074678901,tours@santarosa.com,AV. PERU 507 SANTA ROSA LAMBAYEQUE
AGRICOLA POMALCA E.I.R.L.,20104789012,074789012,agro@pomalca.pe,JR. TACNA 618 POMALCA LAMBAYEQUE
AZUCARERA TUMAN S.A.,20204890123,074890123,azucar@tuman.com,AV. GRAU 729 TUMAN LAMBAYEQUE
AGRICOLA CAYALTI S.R.L.,20304901234,074901234,agro@cayalti.pe,CAL. REAL 830 CAYALTI LAMBAYEQUE
MINERA ZAÑA S.A.C.,20404012345,074012345,mineria@zana.com,AV. EJERCITO 941 ZAÑA LAMBAYEQUE
COMERCIAL CHEPEN E.I.R.L.,20504123456,044123456,comercial@chepen.pe,JR. LIBERTAD 052 CHEPEN LA LIBERTAD
AGRICOLA GUADALUPE S.A.,20604234567,044234567,agro@guadalupe.com,AV. INDEPENDENCIA 163 GUADALUPE LA LIBERTAD
PESQUERA PACASMAYO S.R.L.,20704345678,044345678,pesca@pacasmayo.pe,CAL. UNION 274 PACASMAYO LA LIBERTAD
CEMENTERA JEQUETEPEQUE S.A.C.,20804456789,044456789,cemento@jequetepeque.com,AV. BOLOGNESI 385 JEQUETEPEQUE LA LIBERTAD
AGRICOLA ASCOPE E.I.R.L.,20904567890,044567890,agro@ascope.pe,JR. AMAZONAS 496 ASCOPE LA LIBERTAD
PESQUERA VIRU S.A.,20105678901,044678901,pesca@viru.com,AV. GRAU 507 VIRU LA LIBERTAD
AGRICOLA CHAO S.R.L.,20205789012,043789012,agro@chao.pe,CAL. PROGRESO 618 CHAO LA LIBERTAD
PESQUERA HUARMEY S.A.C.,20305890123,043890123,pesca@huarmey.com,AV. PERU 729 HUARMEY ANCASH
CONSTRUCTORA CASMA E.I.R.L.,20405901234,043901234,obras@casma.pe,JR. TACNA 830 CASMA ANCASH
AGRICOLA BARRANCA S.A.,20505012345,01234567,agro@barranca.com,AV. REPUBLICA 941 BARRANCA LIMA
