Razón Social,RUC,Teléfono,Email,Dirección,Contacto
LOGISTICA LIMA S.A.,20103777037,01789037,logist.lima37@gmail.com,CAL. REAL 3737 LIMA,IVAN HEREDIA
CONSTRUCTORA SUR S.A.C.,20103888038,054890138,obras@sur.pe,JR. LIBERTAD 3838 AREQUIPA,LOURDES IDROGO
MINERA NORTE E.I.R.L.,20103999039,074901239,mineria@norte.com,AV. PERU 3939 LAMBAYEQUE,NELSON JULCA
PESQUERA SUR S.R.L.,20104010040,053012340,pesca@sur.pe,CAL. UNION 4040 MOQUEGUA,ANGELA KAWAKAMI
TEXTIL LIMA S.A.,20104111041,01123441,textil@lima.com,JR. AMAZONAS 4141 LIMA,PAUL LLAUCE
CAFETALERA NORTE S.A.C.,20104222042,076234542,cafe@norte.pe,AV. INDEPENDENCIA 4242 CAJAMARCA,DIANA MANAYAY
ARTESANIAS LIMA E.I.R.L.,20104333043,01345643,arte@lima.pe,CAL. PROGRESO 4343 LIMA,FRANK NEYRA
TURISMO SUR S.R.L.,20104444044,054456744,tours@sur.com,JR. TACNA 4444 AREQUIPA,SANDRA OLIVA
FARMACEUTICA NORTE S.A.,20104555045,076567845,farma@norte.com,AV. GRAU 4545 CAJAMARCA,VICTOR PINTADO
MADERERA NORTE S.A.C.,20104666046,042678946,madera@norte.pe,CAL. REAL 4646 SAN MARTIN,WENDY QUIROZ
ECOTURISMO SUR E.I.R.L.,20104777047,054789047,eco@sur.pe,JR. LIBERTAD 4747 AREQUIPA,XAVIER RODRIGUEZ
AGROINDUSTRIAL SUR S.R.L.,20104888048,054890148,agro@sur.com,AV. PERU 4848 AREQUIPA,YESENIA SUAREZ
ACUICULTURA NORTE S.A.,20104999049,065901249,acui@norte.pe,CAL. UNION 4949 LORETO,ZOILA TAFUR
PETROQUIMICA SUR E.I.R.L.,20105010050,073012350,petro@sur.com,JR. GRAU 5050 PIURA,BRAYAN UGAZ
